Date,INFY_Close,INFY_Volume,WIPRO_Close,WIPRO_Volume,HCLTECH_Close,HCLTECH_Volume,TCS_Close,TCS_Volume,INFY_Return,WIPRO_Return,HCLTECH_Return,TCS_Return,Tech_Sector_Return,INFY_Cumulative,WIPRO_Cumulative,HCLTECH_Cumulative,TCS_Cumulative,Tech_Sector_Cumulative,INFY_Volatility,WIPRO_Volatility,HCLTECH_Volatility,TCS_Volatility,Tech_Sector_Volatility,Tech_Sector_Volume
2004-08-25,1535.05,1259393,565.15,1411041,318.3,538804,987.95,17116372,,,,,,,,,,,,,,,,5081402.5
2004-08-26,1545.55,1295206,574.25,1279206,325.95,930847,979.0,5055400,0.006840168072701269,0.016101919844289103,0.024033930254476754,-0.009059162913102936,0.009479213814591048,1.0068401680727013,1.016101919844289,1.0240339302544768,0.9909408370868971,1.0094792138145912,,,,,,2140164.75
2004-08-27,1565.3,954858,568.5,617642,319.55,605764,962.65,3830750,0.012778622496845804,-0.010013060513713534,-0.019634913330265347,-0.016700715015321776,-0.008392516590613713,1.0197061984951632,1.0059276298327877,1.0039271127866791,0.9743914165696644,1.0010071427647727,,,,,,1502253.5
2004-08-30,1577.45,755309,580.15,684515,317.95,276982,986.75,3058151,0.007762090334121341,0.02049252418645553,-0.00500704115161954,0.025035059471251175,0.012070658210052126,1.0276212501221462,1.02654162611696,0.9989004084197296,0.9987853636317626,1.013089957850907,,,,,,1193739.25
2004-08-31,1575.5,846844,578.5,888263,318.5,243180,988.1,2649332,-0.0012361723034011174,-0.0028440920451606733,0.0017298317345495473,0.0013681276919179641,-0.0002455762305235698,1.0263509331943588,1.0236220472440944,1.0006283380458685,1.0001518295460297,1.0128411670378767,,,,,,1156904.75
2004-09-01,1581.2,500501,576.2,539065,318.8,166722,987.9,2491943,0.003617899079657372,-0.0039757994814173525,0.0009419152276295417,-0.00020240866309084726,9.540154069467843e-05,1.030064167290968,1.019552331239494,1.0015708451146714,0.9999493901513233,1.0129377936456911,,,,,,924557.75
2004-09-02,1602.65,1157661,578.2,754393,321.15,307287,993.65,2669544,0.013565646344548377,0.003471017007983246,0.007371392722710146,0.005820427168741871,0.00755712081099591,1.0440376534966291,1.0230912147217552,1.0089538171536283,1.005769522749127,1.0205926869262953,,,,,,1222221.25
2004-09-03,1606.6,877092,581.5,524963,321.4,189581,997.85,1233732,0.0024646678938007316,0.00570736769283986,0.0007784524365561651,0.004226840436773571,0.003294332114992582,1.0466108595811214,1.0289303724674865,1.0097392397109641,1.0100207500379574,1.023954858191163,,,,,,706342.0
2004-09-06,1607.9,466845,584.0,645530,325.4,267347,994.85,1129834,0.0008091622059007708,0.004299226139294898,0.012445550715619147,-0.0030064638973793523,0.003636868790858866,1.0474577375329799,1.0333539768203133,1.0223060006283378,1.0069841591173643,1.0276788476581666,,,,,,627389.0
2004-09-07,1615.4,736378,592.2,1054249,329.2,488395,995.6,721529,0.004664469183407016,0.014041095890411137,0.011677934849416038,0.0007538824948485345,0.007784345604520682,1.0523435718706238,1.047863399097585,1.0342444234998425,1.0077433068475126,1.0356786549787933,,,,,,750137.75
2004-09-08,1625.0,839326,590.05,692082,331.75,419708,993.7,824248,0.005942800544756599,-0.0036305302262750194,0.0077460510328069,-0.001908396946564861,0.0020374811011809046,1.0585974398228075,1.0440590993541539,1.0422557335846683,1.0058201325978036,1.0377888306652092,,,,,,693841.0
2004-09-09,1622.65,856127,590.05,470210,328.75,294329,979.95,993398,-0.0014461538461537637,0.0,-0.009042954031650341,-0.013837174197443902,-0.006081570518812002,1.0570665450636791,1.0440590993541539,1.0328306628966382,0.9919024242117517,1.0314774447078834,,,,,,653516.0
2004-09-10,1654.05,1161692,591.25,509956,337.2,573616,988.8,801884,0.0193510615351431,0.002033725955427501,0.02570342205323195,0.009031073013929136,0.014029820639432922,1.0775219048239475,1.0461824294435107,1.0593779453345897,1.0008603674275014,1.0459488882507555,,,,,,761787.0
2004-09-13,1675.85,1148161,589.4,674749,339.2,393481,1003.5,2613114,0.013179770865451523,-0.003128964059196604,0.005931198102016699,0.014866504854369023,0.00771212744066016,1.0917233966320319,1.042908962222419,1.0656613257932765,1.015739662938408,1.0540153793733622,,,,,,1207376.25
