Stock,Total Return (%),Avg Volatility (%),Sharpe Ratio
TCS,207.26757426995292,32.256055132747875,0.4036930610937526
HCLTECH,182.42224316682237,37.23932497600686,0.39157072596041914
INFY,-11.771603530829411,33.748041638683226,0.2197747036041017
WIPRO,-12.810758205786621,33.37973054869142,0.19648654986304778
